question,label
What are the symptoms of Akesson syndrome ?,symptoms
What are the symptoms of Spondyloepimetaphyseal dysplasia joint laxity ?,symptoms
What are the symptoms of 8q12 microduplication syndrome ?,symptoms
What is (are) Precocious puberty ?,information
What are the symptoms of Precocious puberty ?,symptoms
What are the treatments for Precocious puberty ?,treatment
What are the symptoms of Red cell phospholipid defect with hemolysis ?,symptoms
What are the symptoms of Florid papillomatosis of the nipple ?,symptoms
What are the symptoms of Aphalangia partial with syndactyly and duplication of metatarsal IV ?,symptoms
What is (are) Creutzfeldt-Jakob disease ?,information
What are the symptoms of Creutzfeldt-Jakob disease ?,symptoms
What causes Creutzfeldt-Jakob disease ?,causes
How to diagnose Creutzfeldt-Jakob disease ?,tests
What are the treatments for Creutzfeldt-Jakob disease ?,treatment
What is (are) Inflammatory linear verrucous epidermal nevus ?,information
What is (are) Autoimmune hepatitis ?,information
What are the symptoms of Autoimmune hepatitis ?,symptoms
What causes Autoimmune hepatitis ?,causes
How to diagnose Autoimmune hepatitis ?,tests
What are the treatments for Autoimmune hepatitis ?,treatment
What is (are) Epidermolysis bullosa acquisita ?,information
What are the symptoms of Epidermolysis bullosa acquisita ?,symptoms
What causes Epidermolysis bullosa acquisita ?,causes
Is Epidermolysis bullosa acquisita inherited ?,information
What are the treatments for Epidermolysis bullosa acquisita ?,treatment
"What are the symptoms of Severe combined immunodeficiency, atypical ?",symptoms
What are the symptoms of Ichthyosis and male hypogonadism ?,symptoms
What is (are) Dominant optic atrophy ?,information
Is Dominant optic atrophy inherited ?,information
What are the treatments for Dominant optic atrophy ?,treatment
What are the symptoms of Chromosome 17q deletion ?,symptoms
What is (are) Hailey-Hailey disease ?,information
What are the symptoms of Hailey-Hailey disease ?,symptoms
Is Hailey-Hailey disease inherited ?,information
How to diagnose Hailey-Hailey disease ?,tests
What are the treatments for Hailey-Hailey disease ?,treatment
What are the symptoms of Dermatoosteolysis Kirghizian type ?,symptoms
What are the symptoms of Isolated growth hormone deficiency type 3 ?,symptoms
What is (are) Esthesioneuroblastoma ?,information
What are the symptoms of Esthesioneuroblastoma ?,symptoms
What causes Esthesioneuroblastoma ?,causes
How to diagnose Esthesioneuroblastoma ?,tests
What are the treatments for Esthesioneuroblastoma ?,treatment
What is (are) Polyembryoma ?,information
What are the treatments for Polyembryoma ?,treatment
What is (are) Lattice corneal dystrophy type 3A ?,information
What are the symptoms of Lattice corneal dystrophy type 3A ?,symptoms
What are the symptoms of Neuhauser Eichner Opitz syndrome ?,symptoms
What are the symptoms of Oto-palato-digital syndrome type 1 ?,symptoms
What is (are) Liposarcoma ?,information
What are the treatments for Liposarcoma ?,treatment
What is (are) Monoclonal mast cell activation syndrome ?,information
What are the symptoms of Torg Winchester syndrome ?,symptoms
What is (are) Megalocytic interstitial nephritis ?,information
What are the symptoms of Megalocytic interstitial nephritis ?,symptoms
What causes Megalocytic interstitial nephritis ?,causes
What is (are) Familial hemiplegic migraine type 1 ?,information
What are the symptoms of Familial hemiplegic migraine type 1 ?,symptoms
What are the treatments for Familial hemiplegic migraine type 1 ?,treatment
What are the symptoms of Corneal dystrophy and perceptive deafness ?,symptoms
What is (are) Dwarfism ?,information
How to diagnose Dwarfism ?,tests
What are the symptoms of Spastic paraplegia 4 ?,symptoms
What is (are) Selective IgM deficiency ?,information
What are the symptoms of Congenital disorder of glycosylation type I/IIX ?,symptoms
"What is (are) Emery-Dreifuss muscular dystrophy, X-linked ?",information
"What are the symptoms of Emery-Dreifuss muscular dystrophy, X-linked ?",symptoms
What is (are) Marfan syndrome ?,information
What are the symptoms of Marfan syndrome ?,symptoms
Is Marfan syndrome inherited ?,information
"What is (are) Refsum disease, infantile form ?",information
"What are the symptoms of Refsum disease, infantile form ?",symptoms
What is (are) Autoimmune pancreatitis ?,information
What are the symptoms of Brachycephalofrontonasal dysplasia ?,symptoms
What is (are) Camptocormism ?,information
What are the symptoms of Bjornstad syndrome ?,symptoms
What is (are) C syndrome ?,information
What are the symptoms of C syndrome ?,symptoms
What are the symptoms of Keratoderma palmoplantar spastic paralysis ?,symptoms
What are the symptoms of Weissenbacher-Zweymuller syndrome ?,symptoms
What is (are) Juvenile-onset dystonia ?,information
What are the symptoms of Juvenile-onset dystonia ?,symptoms
What is (are) Familial hemiplegic migraine ?,information
What are the symptoms of Familial hemiplegic migraine ?,symptoms
What are the symptoms of Congenital generalized lipodystrophy type 2 ?,symptoms
What is (are) Huntington disease ?,information
What are the symptoms of Huntington disease ?,symptoms
What causes Huntington disease ?,causes
Is Huntington disease inherited ?,information
How to diagnose Huntington disease ?,tests
What are the treatments for Huntington disease ?,treatment
"What are the symptoms of 49,XXXXX syndrome ?",symptoms
What is (are) Down syndrome ?,information
What are the symptoms of Down syndrome ?,symptoms
What causes Down syndrome ?,causes
How to diagnose Down syndrome ?,tests
What are the treatments for Down syndrome ?,treatment
What is (are) Hypoplastic right heart syndrome ?,information
"What are the symptoms of Keratosis, seborrheic ?",symptoms
What are the symptoms of Trichothiodystrophy nonphotosensitive ?,symptoms
What is (are) Brittle cornea syndrome ?,information
What are the symptoms of Brittle cornea syndrome ?,symptoms
What are the symptoms of Megalocornea-intellectual disability syndrome ?,symptoms
What are the symptoms of Ichthyosis alopecia eclabion ectropion mental retardation ?,symptoms
What are the symptoms of Facial ectodermal dysplasia ?,symptoms
"What is (are) Hereditary endotheliopathy, retinopathy, nephropathy, and stroke ?",information
"What are the symptoms of Hereditary endotheliopathy, retinopathy, nephropathy, and stroke ?",symptoms
"Is Hereditary endotheliopathy, retinopathy, nephropathy, and stroke inherited ?",information
"What are the treatments for Hereditary endotheliopathy, retinopathy, nephropathy, and stroke ?",treatment
What is (are) MYH7-related scapuloperoneal myopathy ?,information
What are the symptoms of MYH7-related scapuloperoneal myopathy ?,symptoms
What causes MYH7-related scapuloperoneal myopathy ?,causes
What are the treatments for MYH7-related scapuloperoneal myopathy ?,treatment
What is (are) Jones syndrome ?,information
What are the symptoms of Jones syndrome ?,symptoms
What causes Jones syndrome ?,causes
Is Jones syndrome inherited ?,information
What are the treatments for Jones syndrome ?,treatment
What are the symptoms of ABCD syndrome ?,symptoms
What is (are) Congenital adrenal hyperplasia ?,information
What are the symptoms of Congenital adrenal hyperplasia ?,symptoms
What causes Congenital adrenal hyperplasia ?,causes
Is Congenital adrenal hyperplasia inherited ?,information
How to diagnose Congenital adrenal hyperplasia ?,tests
What are the treatments for Congenital adrenal hyperplasia ?,treatment
What is (are) Myelodysplastic/myeloproliferative disease ?,information
What causes Myelodysplastic/myeloproliferative disease ?,causes
What are the symptoms of Pachygyria with mental retardation and seizures ?,symptoms
What are the symptoms of Congenital dyserythropoietic anemia type 3 ?,symptoms
What is (are) Dextrocardia ?,information
What are the symptoms of Hemolytic anemia lethal congenital nonspherocytic with genital and other abnormalities ?,symptoms
What are the symptoms of Immune defect due to absence of thymus ?,symptoms
What is (are) Polymyositis ?,information
What are the symptoms of Polymyositis ?,symptoms
How to diagnose Polymyositis ?,tests
What are the treatments for Polymyositis ?,treatment
"What is (are) Erythema nodosum, idiopathic ?",information
What is (are) BOD syndrome ?,information
What are the symptoms of BOD syndrome ?,symptoms
What are the symptoms of Spastic paraplegia 39 ?,symptoms
What are the symptoms of Midphalangeal hair ?,symptoms
What is (are) Osteomesopyknosis ?,information
What are the symptoms of Osteomesopyknosis ?,symptoms
Is Osteomesopyknosis inherited ?,information
What is (are) Lymphomatoid papulosis ?,information
What are the symptoms of Lymphomatoid papulosis ?,symptoms
What causes Lymphomatoid papulosis ?,causes
What are the treatments for Lymphomatoid papulosis ?,treatment
What are the symptoms of Bowen syndrome ?,symptoms
What is (are) Factor XI deficiency ?,information
What are the symptoms of Factor XI deficiency ?,symptoms
What is (are) Rh deficiency syndrome ?,information
What are the symptoms of Cataract Hutterite type ?,symptoms
What are the symptoms of Acromegaloid facial appearance syndrome ?,symptoms
What is (are) Lymphocytic colitis ?,information
What are the symptoms of Supraumbilical midabdominal raphe and facial cavernous hemangiomas ?,symptoms
What are the symptoms of Ghosal hematodiaphyseal dysplasia syndrome ?,symptoms
What are the symptoms of Rhizomelic chondrodysplasia punctata type 3 ?,symptoms
What are the symptoms of Congenital ectodermal dysplasia with hearing loss ?,symptoms
What is (are) Amelogenesis imperfecta ?,information
What are the symptoms of Amelogenesis imperfecta ?,symptoms
What causes Amelogenesis imperfecta ?,causes
Is Amelogenesis imperfecta inherited ?,information
How to diagnose Amelogenesis imperfecta ?,tests
What are the treatments for Amelogenesis imperfecta ?,treatment
What is (are) TEMPI syndrome ?,information
What are the symptoms of Oculo skeletal renal syndrome ?,symptoms
What are the symptoms of Persistence of mullerian derivatives with lymphangiectasia and postaxial polydactyly ?,symptoms
What are the symptoms of Infundibulopelvic dysgenesis ?,symptoms
What is (are) Jejunal atresia ?,information
What are the symptoms of Jejunal atresia ?,symptoms
What causes Jejunal atresia ?,causes
Is Jejunal atresia inherited ?,information
How to diagnose Jejunal atresia ?,tests
What are the treatments for Jejunal atresia ?,treatment
What is (are) Livedoid vasculopathy ?,information
What are the treatments for Livedoid vasculopathy ?,treatment
What are the symptoms of Caudal appendage deafness ?,symptoms
What is (are) MTHFR gene mutation ?,information
What are the symptoms of MTHFR gene mutation ?,symptoms
Is MTHFR gene mutation inherited ?,information
How to diagnose MTHFR gene mutation ?,tests
What are the treatments for MTHFR gene mutation ?,treatment
What are the symptoms of Pelizaeus-Merzbacher-like disease ?,symptoms
What is (are) Myelofibrosis ?,information
What are the symptoms of Myelofibrosis ?,symptoms
What are the symptoms of Duodenal atresia ?,symptoms
What are the symptoms of Autosomal dominant intermediate Charcot-Marie-Tooth disease type C ?,symptoms
What is (are) Achondrogenesis ?,information
What are the symptoms of Achondrogenesis ?,symptoms
What causes Achondrogenesis ?,causes
Is Achondrogenesis inherited ?,information
How to diagnose Achondrogenesis ?,tests
What are the symptoms of Epiphyseal dysplasia multiple with early-onset diabetes mellitus ?,symptoms
What is (are) Inclusion body myositis ?,information
What are the symptoms of Inclusion body myositis ?,symptoms
What is (are) Renal nutcracker syndrome ?,information
What are the symptoms of Renal nutcracker syndrome ?,symptoms
Is Renal nutcracker syndrome inherited ?,information
How to diagnose Renal nutcracker syndrome ?,tests
What are the treatments for Renal nutcracker syndrome ?,treatment
What are the symptoms of Charcot-Marie-Tooth disease type 4B2 ?,symptoms
What are the symptoms of Autosomal dominant intermediate Charcot-Marie-Tooth disease type B ?,symptoms
What is (are) Wyburn Mason's syndrome ?,information
What are the symptoms of Wyburn Mason's syndrome ?,symptoms
What are the symptoms of Marie Unna congenital hypotrichosis ?,symptoms
What is (are) Harlequin ichthyosis ?,information
What are the symptoms of Harlequin ichthyosis ?,symptoms
What causes Harlequin ichthyosis ?,causes
Is Harlequin ichthyosis inherited ?,information
How to diagnose Harlequin ichthyosis ?,tests
What are the symptoms of Autosomal dominant deafness-onychodystrophy syndrome ?,symptoms
What is (are) Naegeli syndrome ?,information
What are the symptoms of Naegeli syndrome ?,symptoms
How to diagnose Naegeli syndrome ?,tests
What are the treatments for Naegeli syndrome ?,treatment
What is (are) Hemoglobin E disease ?,information
What are the symptoms of Hemoglobin E disease ?,symptoms
How to diagnose Hemoglobin E disease ?,tests
What are the treatments for Hemoglobin E disease ?,treatment
What are the symptoms of Cortisone reductase deficiency ?,symptoms
"What are the symptoms of Cataract, posterior polar, 1 ?",symptoms
What is (are) Chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids ?,information
What are the treatments for Chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids ?,treatment
What is (are) Lymphocytic vasculitis ?,information
What are the symptoms of Lymphocytic vasculitis ?,symptoms
What causes Lymphocytic vasculitis ?,causes
"What are the symptoms of Angiomatosis, diffuse corticomeningeal, of Divry and Van Bogaert ?",symptoms
What are the symptoms of Lateral meningocele syndrome ?,symptoms
What are the symptoms of Gamma-cystathionase deficiency ?,symptoms
What is (are) Behcet's disease ?,information
What are the symptoms of Behcet's disease ?,symptoms
What causes Behcet's disease ?,causes
What are the treatments for Behcet's disease ?,treatment
What are the symptoms of Dyskeratosis congenita autosomal recessive ?,symptoms
What is (are) Ankylosing spondylitis ?,information
What are the symptoms of Ankylosing spondylitis ?,symptoms
Is Ankylosing spondylitis inherited ?,information
What are the treatments for Ankylosing spondylitis ?,treatment
What is (are) Multiple familial trichoepithelioma ?,information
What are the symptoms of Multiple familial trichoepithelioma ?,symptoms
What causes Multiple familial trichoepithelioma ?,causes
Is Multiple familial trichoepithelioma inherited ?,information
How to diagnose Multiple familial trichoepithelioma ?,tests
What are the treatments for Multiple familial trichoepithelioma ?,treatment
What are the symptoms of Kaplan Plauchu Fitch syndrome ?,symptoms
What is (are) Lenz microphthalmia syndrome ?,information
What are the symptoms of Lenz microphthalmia syndrome ?,symptoms
What is (are) Microcephalic osteodysplastic primordial dwarfism type 1 ?,information
What are the symptoms of Microcephalic osteodysplastic primordial dwarfism type 1 ?,symptoms
What causes Microcephalic osteodysplastic primordial dwarfism type 1 ?,causes
Is Microcephalic osteodysplastic primordial dwarfism type 1 inherited ?,information
What are the treatments for Microcephalic osteodysplastic primordial dwarfism type 1 ?,treatment
What is (are) Familial avascular necrosis of the femoral head ?,information
What are the symptoms of Familial avascular necrosis of the femoral head ?,symptoms
What are the symptoms of Melanoma astrocytoma syndrome ?,symptoms
What is (are) Mastocytic enterocolitis ?,information
What are the symptoms of Mastocytic enterocolitis ?,symptoms
How to diagnose Mastocytic enterocolitis ?,tests
What are the treatments for Mastocytic enterocolitis ?,treatment
"What is (are) Usher syndrome, type 1E ?",information
"What are the symptoms of Usher syndrome, type 1E ?",symptoms
"Is Usher syndrome, type 1E inherited ?",information
"What are the symptoms of Maturity-onset diabetes of the young, type 1 ?",symptoms
What are the symptoms of Stomatocytosis I ?,symptoms
What is (are) Autoimmune gastrointestinal dysmotility ?,information
What are the symptoms of Fingerprint body myopathy ?,symptoms
What are the symptoms of Hypertrichosis congenital generalized X-linked ?,symptoms
What is (are) Familial esophageal achalasia ?,information
What are the symptoms of Familial esophageal achalasia ?,symptoms
What are the symptoms of Martinez Monasterio Pinheiro syndrome ?,symptoms
What is (are) Catecholaminergic polymorphic ventricular tachycardia ?,information
What are the symptoms of Catecholaminergic polymorphic ventricular tachycardia ?,symptoms
What are the treatments for Catecholaminergic polymorphic ventricular tachycardia ?,treatment
What are the symptoms of Ablepharon macrostomia syndrome ?,symptoms
What is (are) Sacrococcygeal Teratoma ?,information
What are the treatments for Sacrococcygeal Teratoma ?,treatment
What is (are) Lucey-Driscoll syndrome ?,information
What are the symptoms of Lucey-Driscoll syndrome ?,symptoms
What causes Lucey-Driscoll syndrome ?,causes
What is (are) Acute intermittent porphyria ?,information
What are the symptoms of Acute intermittent porphyria ?,symptoms
What causes Acute intermittent porphyria ?,causes
Is Acute intermittent porphyria inherited ?,information
How to diagnose Acute intermittent porphyria ?,tests
What are the treatments for Acute intermittent porphyria ?,treatment
What are the symptoms of Summitt syndrome ?,symptoms
What are the symptoms of Fucosidosis type 1 ?,symptoms
What are the symptoms of Richieri Costa Da Silva syndrome ?,symptoms
What is (are) Nonbullous congenital ichthyosiform erythroderma ?,information
What are the symptoms of Nonbullous congenital ichthyosiform erythroderma ?,symptoms
What are the treatments for Nonbullous congenital ichthyosiform erythroderma ?,treatment
What is (are) Fanconi Bickel syndrome ?,information
What are the symptoms of Fanconi Bickel syndrome ?,symptoms
What are the treatments for Fanconi Bickel syndrome ?,treatment
What is (are) Juvenile primary lateral sclerosis ?,information
What are the symptoms of Juvenile primary lateral sclerosis ?,symptoms
What causes Juvenile primary lateral sclerosis ?,causes
Is Juvenile primary lateral sclerosis inherited ?,information
What is (are) Trichorhinophalangeal syndrome type 3 ?,information
What are the symptoms of Trichorhinophalangeal syndrome type 3 ?,symptoms
What are the symptoms of Infantile myofibromatosis ?,symptoms
What are the symptoms of Striatonigral degeneration infantile ?,symptoms
What are the symptoms of Congenital generalized lipodystrophy type 1 ?,symptoms
What is (are) Benign schwannoma ?,information
What are the symptoms of Benign schwannoma ?,symptoms
What causes Benign schwannoma ?,causes
Is Benign schwannoma inherited ?,information
How to diagnose Benign schwannoma ?,tests
What are the treatments for Benign schwannoma ?,treatment
What are the symptoms of Juberg Marsidi syndrome ?,symptoms
What is (are) Mevalonic aciduria ?,information
What are the symptoms of Mevalonic aciduria ?,symptoms
What are the treatments for Mevalonic aciduria ?,treatment
What is (are) Marshall-Smith syndrome ?,information
What are the symptoms of Marshall-Smith syndrome ?,symptoms
"What are the symptoms of Epidermolysis bullosa, late-onset localized junctional, with mental retardation ?",symptoms
What are the symptoms of Anterior polar cataract 2 ?,symptoms
What are the symptoms of Brachydactyly Mononen type ?,symptoms
What is (are) Hereditary sensory neuropathy type IE ?,information
What are the symptoms of Hereditary sensory neuropathy type IE ?,symptoms
Is Hereditary sensory neuropathy type IE inherited ?,information
What are the treatments for Hereditary sensory neuropathy type IE ?,treatment
What are the symptoms of Orofaciodigital syndrome 8 ?,symptoms
What are the symptoms of Insulinoma ?,symptoms
What is (are) Farber's disease ?,information
What are the symptoms of Farber's disease ?,symptoms
What is (are) Singleton Merten syndrome ?,information
What are the symptoms of Singleton Merten syndrome ?,symptoms
How to diagnose Singleton Merten syndrome ?,tests
What are the treatments for Singleton Merten syndrome ?,treatment
What are the symptoms of Thyroid hormone plasma membrane transport defect ?,symptoms
What is (are) 22q13.3 deletion syndrome ?,information
What are the symptoms of 22q13.3 deletion syndrome ?,symptoms
What are the symptoms of Cerebral sclerosis similar to Pelizaeus-Merzbacher disease ?,symptoms
What is (are) Glutamate formiminotransferase deficiency ?,information
What are the symptoms of Glutamate formiminotransferase deficiency ?,symptoms
What is (are) Linear scleroderma ?,information
What is (are) Isodicentric chromosome 15 syndrome ?,information
What is (are) Tietz syndrome ?,information
What are the symptoms of Tietz syndrome ?,symptoms
How to diagnose Tietz syndrome ?,tests
What is (are) Autosomal recessive pseudohypoaldosteronism type 1 ?,information
What are the symptoms of Autosomal recessive pseudohypoaldosteronism type 1 ?,symptoms
What is (are) Idiopathic thrombocytopenic purpura ?,information
What are the symptoms of Idiopathic thrombocytopenic purpura ?,symptoms
What are the symptoms of Wiedemann Oldigs Oppermann syndrome ?,symptoms
What are the symptoms of Spastic paraplegia 16 ?,symptoms
What is (are) Actinomycosis ?,information
"What are the symptoms of Deafness, autosomal dominant nonsyndromic sensorineural 17 ?",symptoms
What are the symptoms of Pseudoprogeria syndrome ?,symptoms
What are the symptoms of Alopecia-intellectual disability syndrome ?,symptoms
What is (are) Tumor necrosis factor receptor-associated periodic syndrome ?,information
What are the symptoms of Tumor necrosis factor receptor-associated periodic syndrome ?,symptoms
What causes Tumor necrosis factor receptor-associated periodic syndrome ?,causes
Is Tumor necrosis factor receptor-associated periodic syndrome inherited ?,information
What are the treatments for Tumor necrosis factor receptor-associated periodic syndrome ?,treatment
What is (are) Stickler syndrome type 1 ?,information
What are the symptoms of Stickler syndrome type 1 ?,symptoms
What are the symptoms of Zunich neuroectodermal syndrome ?,symptoms
What are the symptoms of Tubulointerstitial nephritis and uveitis ?,symptoms
What are the symptoms of Banki syndrome ?,symptoms
What are the symptoms of Severe congenital neutropenia X-linked ?,symptoms
What are the symptoms of Macrothrombocytopenia progressive deafness ?,symptoms
What is (are) Klinefelter syndrome ?,information
What are the symptoms of Klinefelter syndrome ?,symptoms
What causes Klinefelter syndrome ?,causes
Is Klinefelter syndrome inherited ?,information
How to diagnose Klinefelter syndrome ?,tests
What are the treatments for Klinefelter syndrome ?,treatment
What is (are) Juvenile spondyloarthropathy ?,information
What is (are) Borjeson-Forssman-Lehmann syndrome ?,information
What are the symptoms of Borjeson-Forssman-Lehmann syndrome ?,symptoms
What is (are) Lactate dehydrogenase deficiency ?,information
What are the symptoms of Dermatoleukodystrophy ?,symptoms
What are the symptoms of Progressive familial heart block type 1A ?,symptoms
What are the symptoms of Bardet-Biedl syndrome 10 ?,symptoms
What are the symptoms of Sulfite oxidase deficiency ?,symptoms
What is (are) Sideroblastic anemia pyridoxine-refractory autosomal recessive ?,information
What are the symptoms of Sideroblastic anemia pyridoxine-refractory autosomal recessive ?,symptoms
What causes Sideroblastic anemia pyridoxine-refractory autosomal recessive ?,causes
What are the treatments for Sideroblastic anemia pyridoxine-refractory autosomal recessive ?,treatment
"What are the symptoms of Agammaglobulinemia, non-Bruton type ?",symptoms
What is (are) Majeed syndrome ?,information
What are the symptoms of Majeed syndrome ?,symptoms
What causes Majeed syndrome ?,causes
Is Majeed syndrome inherited ?,information
What are the treatments for Majeed syndrome ?,treatment
What are the symptoms of Hairy palms and soles ?,symptoms
What is (are) Dextrocardia with situs inversus ?,information
What causes Dextrocardia with situs inversus ?,causes
Is Dextrocardia with situs inversus inherited ?,information
How to diagnose Dextrocardia with situs inversus ?,tests
What are the treatments for Dextrocardia with situs inversus ?,treatment
What are the symptoms of Chudley Rozdilsky syndrome ?,symptoms
What is (are) Tracheobronchopathia osteoplastica ?,information
What are the symptoms of Tracheobronchopathia osteoplastica ?,symptoms
What causes Tracheobronchopathia osteoplastica ?,causes
Is Tracheobronchopathia osteoplastica inherited ?,information
How to diagnose Tracheobronchopathia osteoplastica ?,tests
What are the treatments for Tracheobronchopathia osteoplastica ?,treatment
What are the symptoms of Carney triad ?,symptoms
What are the symptoms of Woodhouse Sakati syndrome ?,symptoms
"What are the symptoms of Hypercholesterolemia, autosomal dominant ?",symptoms
What is (are) Keratoconus ?,information
What are the symptoms of Keratoconus ?,symptoms
What are the treatments for Keratoconus ?,treatment
What are the symptoms of Spinocerebellar ataxia 26 ?,symptoms
What is (are) Acute alcohol sensitivity ?,information
What are the symptoms of Acute alcohol sensitivity ?,symptoms
What are the symptoms of RHYNS syndrome ?,symptoms
What are the symptoms of Multiple pterygium syndrome X-linked ?,symptoms
What are the symptoms of Deafness conductive ptosis skeletal anomalies ?,symptoms
What is (are) Dopa-responsive dystonia ?,information
What are the symptoms of Dopa-responsive dystonia ?,symptoms
Is Dopa-responsive dystonia inherited ?,information
How to diagnose Dopa-responsive dystonia ?,tests
What is (are) Juvenile amyotrophic lateral sclerosis ?,information
What are the symptoms of Juvenile amyotrophic lateral sclerosis ?,symptoms
What causes Juvenile amyotrophic lateral sclerosis ?,causes
What are the treatments for Juvenile amyotrophic lateral sclerosis ?,treatment
What are the symptoms of Amaurosis congenita cone-rod type with congenital hypertrichosis ?,symptoms
What are the symptoms of Spinocerebellar degeneration and corneal dystrophy ?,symptoms
"What is (are) Usher syndrome, type 1B ?",information
"What are the symptoms of Usher syndrome, type 1B ?",symptoms
"Is Usher syndrome, type 1B inherited ?",information
What is (are) 15q11.2 microdeletion ?,information
What are the symptoms of 15q11.2 microdeletion ?,symptoms
What causes 15q11.2 microdeletion ?,causes
What is (are) Noonan syndrome 1 ?,information
What are the symptoms of Noonan syndrome 1 ?,symptoms
What are the treatments for Noonan syndrome 1 ?,treatment
What are the symptoms of Autosomal recessive nonsyndromic congenital nuclear cataract ?,symptoms
What are the symptoms of Aniridia absent patella ?,symptoms
What is (are) Ehlers-Danlos syndrome ?,information
What are the symptoms of Ehlers-Danlos syndrome ?,symptoms
What causes Ehlers-Danlos syndrome ?,causes
Is Ehlers-Danlos syndrome inherited ?,information
How to diagnose Ehlers-Danlos syndrome ?,tests
What are the treatments for Ehlers-Danlos syndrome ?,treatment
What is (are) Adult-onset vitelliform macular dystrophy ?,information
What are the symptoms of Adult-onset vitelliform macular dystrophy ?,symptoms
What causes Adult-onset vitelliform macular dystrophy ?,causes
Is Adult-onset vitelliform macular dystrophy inherited ?,information
What are the treatments for Adult-onset vitelliform macular dystrophy ?,treatment
What is (are) Granuloma annulare ?,information
What are the symptoms of Granuloma annulare ?,symptoms
What causes Granuloma annulare ?,causes
What are the treatments for Granuloma annulare ?,treatment
What is (are) Buschke Ollendorff syndrome ?,information
What are the symptoms of Buschke Ollendorff syndrome ?,symptoms
Is Buschke Ollendorff syndrome inherited ?,information
How to diagnose Buschke Ollendorff syndrome ?,tests
What are the treatments for Buschke Ollendorff syndrome ?,treatment
What are the symptoms of Dysequilibrium syndrome ?,symptoms
What are the symptoms of Diffuse panbronchiolitis ?,symptoms
What is (are) Non-involuting congenital hemangioma ?,information
How to diagnose Non-involuting congenital hemangioma ?,tests
What are the treatments for Non-involuting congenital hemangioma ?,treatment
What are the symptoms of Pili torti onychodysplasia ?,symptoms
What is (are) Werner's syndrome ?,information
What are the symptoms of Werner's syndrome ?,symptoms
What is (are) Giant congenital nevus ?,information
What are the symptoms of Giant congenital nevus ?,symptoms
What are the treatments for Giant congenital nevus ?,treatment
What is (are) Fetal and neonatal alloimmune thrombocytopenia ?,information
What are the treatments for Fetal and neonatal alloimmune thrombocytopenia ?,treatment
What is (are) Maffucci syndrome ?,information
What are the symptoms of Maffucci syndrome ?,symptoms
What are the treatments for Maffucci syndrome ?,treatment
What are the symptoms of Van Den Bosch syndrome ?,symptoms
What are the symptoms of Spondyloepimetaphyseal dysplasia with multiple dislocations ?,symptoms
What are the symptoms of Hyperlipoproteinemia type 5 ?,symptoms
What is (are) Pterygium of the conjunctiva and cornea ?,information
What are the symptoms of Pterygium of the conjunctiva and cornea ?,symptoms
What is (are) Behr syndrome ?,information
What are the symptoms of Behr syndrome ?,symptoms
What causes Behr syndrome ?,causes
What are the treatments for Behr syndrome ?,treatment
What are the symptoms of Kaufman oculocerebrofacial syndrome ?,symptoms
What is (are) Tubular aggregate myopathy ?,information
What are the symptoms of Tubular aggregate myopathy ?,symptoms
What causes Tubular aggregate myopathy ?,causes
Is Tubular aggregate myopathy inherited ?,information
What are the treatments for Tubular aggregate myopathy ?,treatment
"What is (are) Ehlers-Danlos syndrome, dermatosparaxis type ?",information
"What are the symptoms of Ehlers-Danlos syndrome, dermatosparaxis type ?",symptoms
"What causes Ehlers-Danlos syndrome, dermatosparaxis type ?",causes
"Is Ehlers-Danlos syndrome, dermatosparaxis type inherited ?",information
"How to diagnose Ehlers-Danlos syndrome, dermatosparaxis type ?",tests
"What are the treatments for Ehlers-Danlos syndrome, dermatosparaxis type ?",treatment
What are the symptoms of Microphthalmia syndromic 7 ?,symptoms
What is (are) Growth hormone deficiency ?,information
What are the symptoms of Arthrogryposis like disorder ?,symptoms
What are the symptoms of Martsolf syndrome ?,symptoms
What is (are) Spondylospinal thoracic dysostosis ?,information
What are the symptoms of Spondylospinal thoracic dysostosis ?,symptoms
What are the symptoms of Nievergelt syndrome ?,symptoms
What is (are) Mucopolysaccharidosis type IIIC ?,information
What are the symptoms of Mucopolysaccharidosis type IIIC ?,symptoms
What are the symptoms of Vitreoretinochoroidopathy dominant ?,symptoms
What are the symptoms of Spondyloepiphyseal dysplasia ?,symptoms
What is (are) Thanatophoric dysplasia ?,information
What are the symptoms of Thanatophoric dysplasia ?,symptoms
What causes Thanatophoric dysplasia ?,causes
Is Thanatophoric dysplasia inherited ?,information
"What is (are) Hemolytic uremic syndrome, atypical, childhood ?",information
What is (are) Bednar tumor ?,information
What is (are) Juvenile osteoporosis ?,information
What are the symptoms of Juvenile osteoporosis ?,symptoms
What is (are) Hydrocephalus due to congenital stenosis of aqueduct of sylvius ?,information
What are the symptoms of Hydrocephalus due to congenital stenosis of aqueduct of sylvius ?,symptoms
Is Hydrocephalus due to congenital stenosis of aqueduct of sylvius inherited ?,information
How to diagnose Hydrocephalus due to congenital stenosis of aqueduct of sylvius ?,tests
What are the treatments for Hydrocephalus due to congenital stenosis of aqueduct of sylvius ?,treatment
"What are the symptoms of Mental retardation X-linked, South African type ?",symptoms
What is (are) Apocrine carcinoma ?,information
What is (are) Serpiginous choroiditis ?,information
What causes Serpiginous choroiditis ?,causes
Is Serpiginous choroiditis inherited ?,information
What are the treatments for Serpiginous choroiditis ?,treatment
